Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
6140231,1,43469,701,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Serious
6142035,1,43469,2308,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
6170291,1,43472,838,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight
6180214,2,43473,705,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6191021,1,43474,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
61A0879,2,43475,1424,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight
61B0200,2,43476,550,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
61B0239,5,43476,700,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
61B0317,1,43476,826,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
61C0968,2,43477,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
61D1303,4,43478,1735,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Vehicle or pillion passenger,Slight
61D1457,2,43478,1905,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
61F1116,1,43480,1530,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
61F1443,2,43480,1807,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
61G1372,1,43466,1630,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
61K0563,2,43485,1026,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
61K0615,3,43485,1100,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
61K0776,1,43485,230,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight
61K1702,3,43485,2125,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Serious
61L0705,2,43486,1733,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
61L1354,2,43486,1757,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Serious
61N1476,1,43488,1912,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight
61O0426,2,43489,1032,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight
61P1120,4,43490,1517,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
61Q1857,2,43491,2205,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
61S0883,3,43493,900,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
61S1100,1,43486,1500,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
61T0050,2,43494,100,A,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
6210481,2,43482,1800,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious
6211089,2,43497,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6211721,2,43497,2011,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
6250208,1,43501,540,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist – if hazard,Taxi/Private hire car,Pedestrian,Slight
6261810,2,43502,2031,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight
6290966,2,43505,1225,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
62A1096,1,43506,1605,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
62B1233,1,43507,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight
62D0888,2,43509,1353,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
62D2076,2,43509,2252,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Motorcycle - Unknown CC,Driver or rider,Serious
62G0718,2,43512,1129,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
62I0672,1,43514,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Agricultural vehicle (includes diggers etc.),Pedestrian,Slight
62J1410,2,43515,1835,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
62L0952,2,43517,1400,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight
62M0769,1,43518,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
62M1225,7,43518,1650,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
62M1698,2,43518,1755,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
62O0181,1,43520,151,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious
62O0501,2,43520,810,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
62P0207,2,43521,559,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
62Q1437,2,43525,550,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
6340638,2,43528,1148,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6340804,3,43528,1305,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6370337,1,43531,850,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Car,Pedestrian,Slight
63A1016,2,43534,1500,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight
63C0554,2,43536,1127,Motorway,Wet / Damp,Daylight: street lights present,Raining with high winds,Car,Driver or rider,Slight
63D0351,1,43537,845,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
63D1372,2,43537,1730,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
63D1851,1,43537,2100,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Serious
63G1401,2,43540,1715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
63H0768,2,43541,1249,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
63H1032,2,43541,1501,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
63K0899,1,43544,1340,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight
63K1349,2,43544,1645,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
63Q1077,3,43550,1540,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
63Q1404,3,43550,1803,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
63R0449,2,43551,1015,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
63U1733,2,43554,1900,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
6471771,2,43562,1320,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6490382,1,43564,927,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
64B0209,1,43566,525,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
64B0422,2,43565,1825,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
64B1203,2,43566,1640,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Serious
64D0970,1,43568,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
64F0540,1,43570,1130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
64F0673,3,43570,1219,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight
64G1125,2,43570,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
64I0344,2,43573,850,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
64I0844,2,43573,1115,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
64I1086,1,43575,1525,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
64I1853,2,43573,2040,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
64J1224,2,43574,1705,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
64K0399,2,43575,700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight
64K1571,1,43575,1830,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
64K2079,2,43575,2223,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight
64L1051,2,43576,1450,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
64S1800,3,43583,2133,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
64U0698,2,43585,1241,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
6510616,2,43585,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
