Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
5BM1736,2,22/11/2018,2302,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight
5BO1706,2,24/11/2018,2002,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
5BR0311,2,27/11/2018,825,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5BR0388,2,27/11/2018,915,Motorway,Wet / Damp,Daylight: street lights present,Fog or mist – if hazard,Car,Driver or rider,Slight
5BR1200,1,27/11/2018,1700,Unclassified,Wet / Damp,Darkness: no street lighting,Raining with high winds,Car,Pedestrian,Slight
5BU1191,3,30/11/2018,1420,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5C11015,1,30/11/2018,1330,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight
5C20119,2,02/12/2018,105,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Driver or rider,Serious
5C21327,3,02/12/2018,1644,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
5C41381,2,04/12/2018,1700,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
5C51152,2,05/12/2018,1618,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
5C60363,1,06/12/2018,850,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight
5C81534,2,08/12/2018,1910,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight
5CB0655,2,11/12/2018,1143,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
5CB1156,2,11/12/2018,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5CB1505,1,11/12/2018,1805,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
5CC0275,1,12/12/2018,754,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
5CC0433,1,12/12/2018,1930,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
5CE0068,2,14/12/2018,103,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Fatal
5CG0091,1,16/12/2018,55,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Pedestrian,Slight
5CG1160,1,16/12/2018,1617,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
5CH0518,1,17/12/2018,1031,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
5CJ1583,1,19/12/2018,1915,A,Wet / Damp,Darkness: street lights present but unlit,Raining without high winds,Car,Pedestrian,Serious
5CL1609,1,21/12/2018,1900,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight
5CM0536,2,22/12/2018,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
5CN1599,1,23/12/2018,1500,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight
5CO0885,2,24/12/2018,1410,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
5CR1570,1,27/12/2018,1930,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
5CT0620,2,29/12/2018,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5CU1368,1,29/12/2018,2030,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
5CV1342,1,31/12/2018,1830,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
6121478,2,31/12/2018,2359,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight
