Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
55U1387,1,30/05/2018,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
55V0612,3,31/05/2018,1046,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5610656,4,01/06/2018,1100,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5611051,2,01/06/2018,1405,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5611735,2,01/06/2018,1545,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5630280,2,03/06/2018,242,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5640367,2,04/06/2018,755,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Serious
5640948,3,04/06/2018,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5650808,3,05/06/2018,1320,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5671714,2,07/06/2018,1640,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5692198,2,09/06/2018,2330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56C0930,2,12/06/2018,1405,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
56C1054,1,14/06/2018,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
56C1338,2,12/06/2018,1658,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56D0393,2,13/06/2018,852,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56E0645,2,14/06/2018,1049,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56F1049,2,15/06/2018,1452,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56F1467,2,15/06/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious
56G1182,2,16/06/2018,1520,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
56G1338,1,16/06/2018,1650,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Serious
56I0659,2,18/06/2018,1135,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
56J0695,2,19/06/2018,1130,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Driver or rider,Slight
56K0799,1,20/06/2018,1250,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56K0956,2,20/06/2018,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56M1039,2,22/06/2018,1431,B,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
56O0150,3,24/06/2018,200,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
56O0904,2,24/06/2018,1319,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56O1289,2,24/06/2018,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
56P1809,2,25/06/2018,1937,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
56Q1217,2,26/06/2018,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Mobility Scooter,Driver or rider,Slight
56R0438,1,27/06/2018,715,B,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
56R0589,1,27/06/2018,1012,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight
56R1098,2,27/06/2018,1429,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
56S0814,2,28/06/2018,1235,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
56T0401,2,29/06/2018,730,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight
56T1002,3,29/06/2018,929,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
56T1095,1,29/06/2018,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
56T1354,2,29/06/2018,1529,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
56U0788,3,30/06/2018,1045,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5721915,2,02/07/2018,2019,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5731154,2,03/07/2018,1537,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5731405,2,03/07/2018,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5740392,2,04/07/2018,734,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5741082,2,04/07/2018,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5751089,2,05/07/2018,1512,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5761064,2,06/07/2018,1416,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5770613,2,07/07/2018,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
5772021,2,07/07/2018,2005,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
57E1696,2,14/07/2018,1915,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious
57G1224,1,16/07/2018,1200,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight
57H0345,2,17/07/2018,741,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
57I0434,1,18/07/2018,850,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
57I1719,3,18/07/2018,1923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
57J1579,2,19/07/2018,1745,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
57J2063,2,19/07/2018,1800,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
57K0916,2,20/07/2018,1255,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious
57L0209,2,21/07/2018,209,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
57M1391,2,22/07/2018,1610,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious
57O0694,2,24/07/2018,1110,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
57O1378,1,24/07/2018,1620,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
57Q0706,2,26/07/2018,1105,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
57Q1776,2,26/07/2018,1917,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
57R0526,1,27/07/2018,930,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight
57R1301,2,27/07/2018,1545,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
57T0064,2,29/07/2018,30,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
57T0451,1,08/07/2018,450,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5811855,2,01/08/2018,2000,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious
5821089,1,02/08/2018,1420,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5851091,1,05/08/2018,1945,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
5870365,2,07/08/2018,718,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5881724,2,08/08/2018,2023,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious
5891292,1,09/08/2018,1710,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
58B0512,3,11/08/2018,855,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
58D1504,2,13/08/2018,1750,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight
58F0131,1,15/08/2018,130,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
58H1527,2,17/08/2018,1742,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight
58I1293,1,18/08/2018,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
58J1999,4,19/08/2018,2211,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
58K0262,1,20/08/2018,610,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
58L1641,2,21/08/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
58M1563,4,22/08/2018,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
58M1993,2,22/08/2018,2136,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
58O0927,3,24/08/2018,1345,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
58O1004,1,24/08/2018,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,M/cycle 50cc and under,Driver or rider,Slight
58P1039,2,25/08/2018,1409,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
58Q1253,2,26/08/2018,1613,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
58T0966,2,29/08/2018,1421,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
58U0255,1,30/08/2018,645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious
5920988,2,02/09/2018,1252,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5921067,1,02/09/2018,1328,Motorway,Dry,Daylight: street lights present,Fine without high winds,Other Vehicle ,Driver or rider,Serious
5930341,3,03/09/2018,738,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight
5961432,2,06/09/2018,1848,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
5961845,1,06/09/2018,2230,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight
5971462,2,07/09/2018,1711,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59A2121,1,10/09/2018,2333,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious
59C0649,1,12/09/2018,1143,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious
59C1950,4,12/09/2018,2100,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
59D0245,2,13/09/2018,749,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
59D1742,2,13/09/2018,2102,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
59E0388,1,14/09/2018,843,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
59F2180,1,15/09/2018,2200,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight
59G1340,2,16/09/2018,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59I0302,2,18/09/2018,805,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
59L0862,2,21/09/2018,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59L1665,3,21/09/2018,2100,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Driver or rider,Slight
59M0598,4,22/09/2018,1010,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59M0718,1,22/09/2018,1113,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
59M0959,2,22/09/2018,1320,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
59N0678,2,23/09/2018,1050,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59O1018,1,24/09/2018,1449,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59Q1537,2,26/09/2018,1825,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
59R0430,2,27/09/2018,830,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
59S0421,1,28/09/2018,920,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
59S1068,4,28/09/2018,1519,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59S1561,2,28/09/2018,1715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
59T1318,1,29/09/2018,1500,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious
59T1937,1,29/09/2018,2107,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Fatal
5A10776,1,01/10/2018,1900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
5A20355,1,02/10/2018,907,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
5A20653,3,02/10/2018,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5A51538,2,05/10/2018,1738,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
5A60931,1,06/10/2018,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5A80001,2,08/10/2018,1035,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
5A81210,2,08/10/2018,1615,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
