Reference Number,Number of vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
7A81653,1,44112,2027,Unclassified,Wet / damp,Daylight: street lights present,Raining without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
7A91401,2,44113,1800,Unclassified,Dry,Darkness: street lights present,Fine without high winds,Car,Driver or rider,Slight
7AC0226,2,44116,805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7AE0525,2,44118,845,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious
7AF2048,1,44119,2355,A,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
7AG1509,2,44120,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7AL0758,1,44125,1256,Unclassified,Wet /  damp,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
7AO1559,2,44128,1942,A,Wet /  damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight
7AU1579,2,44135,1913,Unclassified,Wet /  damp,Darkness: street lights present and lit,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
7AV0373,2,44135,630,Unclassified,Wet /  damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
7B30783,2,44138,1341,Unclassified,Wet /  damp,Daylight: street lights present,Raining without high winds,Other vehicle,Driver or rider,Slight
7B40972,1,44139,1449,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Fatal
7B50343,2,44140,805,A,Wet / damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7B70414,2,44142,855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7BD0784,1,44148,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
7BF0017,2,44150,12,Unclassified,Wet / damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
7BF1101,2,44150,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
7BG0203,2,44151,655,A,Wet / damp,Daylight: street lights present,Raining with high winds,Car,Driver or rider,Slight
