Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity
49B1517,2,11/09/2017,1838,A629,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Serious
49D1537,2,13/09/2017,1935,A58,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
49F0682,3,15/09/2017,1214,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
49G0777,2,16/09/2017,1205,U,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
49G1225,2,16/09/2017,1555,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight
49H0655,2,17/09/2017,1025,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
49K1272,2,20/09/2017,1627,B6113,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
49L1293,2,21/09/2017,1625,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
49M1282,1,22/09/2017,1617,A58,Wet/Damp,Daylight:street lights present,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
49M1648,1,22/09/2017,725,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight
49R1694,2,27/09/2017,1943,U,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Serious
49S0685,3,28/09/2017,1205,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
49S1979,2,28/09/2017,2129,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
49T0884,1,26/09/2017,750,A58,Dry,Daylight:street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight
49T0927,2,16/09/2017,1300,B6114,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
49T1639,1,29/09/2017,1843,U,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious
4A11372,1,01/10/2017,1715,U,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Serious
4A30335,1,03/10/2017,850,A58,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4A30785,2,03/10/2017,1250,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
4A40320,1,04/10/2017,753,A6036,Wet/Damp,Daylight:street lights present,Raining with high winds,Car,Pedestrian,Slight
4A51176,1,05/10/2017,1600,A646,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight
4A51336,2,05/10/2017,1700,U,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
4A60240,2,06/10/2017,620,A6025,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
4A60722,2,08/10/2017,1220,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4A60939,1,06/10/2017,1418,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4A71935,4,07/10/2017,2122,A647,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4A91308,2,09/10/2017,1640,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Fatal
4A91447,3,09/10/2017,1730,M62,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight
4AA0228,2,10/10/2017,702,U,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious
4AA1437,2,10/10/2017,1745,A644,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
4AB0090,2,11/10/2017,143,A6026(M),Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4AB0833,1,11/10/2017,1130,U,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
4AC0206,1,12/10/2017,611,A6025,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
4AE0030,2,14/10/2017,12,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4AF2060,2,15/10/2017,1935,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4AG0553,2,16/10/2017,1011,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4AH1313,1,17/10/2017,1607,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4AI0485,1,18/10/2017,1007,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4AJ0397,1,19/10/2017,840,A672,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4AJ1074,2,14/10/2017,1130,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4AL0093,2,21/10/2017,55,A58,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight
4AM1166,4,22/10/2017,1531,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4AP1089,2,25/10/2017,1450,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4AR1368,1,27/10/2017,1630,A646,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Serious
4AS0987,2,28/10/2017,1313,A649,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4AT0998,2,29/10/2017,1220,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4AV0735,2,31/10/2017,1202,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4AV1397,1,31/10/2017,1720,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
4AV1733,2,31/10/2017,1851,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4B10338,3,01/11/2017,744,B6112,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4B42407,1,04/11/2017,2331,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
4B50624,3,05/11/2017,1020,A644,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight
4B52500,2,05/11/2017,2259,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4B61187,1,06/11/2017,1500,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4B61516,2,06/11/2017,1709,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
4B61523,2,06/11/2017,1713,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight
4B70768,1,07/11/2017,1150,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4B71215,1,07/11/2017,1615,A6025,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
4B81335,2,08/11/2017,1651,U,Wet/Damp,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight
4B81461,4,08/11/2017,1743,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
4B81864,1,08/11/2017,2100,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4B91405,1,09/11/2017,1730,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight
4BB1652,1,11/11/2017,1858,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
4BD1322,2,13/11/2017,1644,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4BE0996,2,14/11/2017,1420,A6033,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4BJ0742,2,19/11/2017,1030,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4BJ1085,2,19/11/2017,1515,A646,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Serious
4BK1661,2,20/11/2017,1930,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
