Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity
43H1176,1,17/03/2017,1605,A58,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Pedestrian,Slight
43H1440,2,17/03/2017,1315,M62,Dry,Daylight:street lights present,Fine with high winds,Car,Driver or rider,Slight
43I1037,2,19/03/2017,1508,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
43K0190,2,20/03/2017,700,M62,Wet/Damp,Darkness: street lighting unknown,Raining with high winds,Car,Driver or rider,Slight
43K1466,2,20/03/2017,1550,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
43L0705,1,21/03/2017,1231,A629,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
43L1108,1,21/03/2017,1552,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
43M0474,1,22/03/2017,800,U,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Pedestrian,Slight
43N0355,2,23/03/2017,900,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
43P1503,2,25/03/2017,1855,A629,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight
43Q0788,2,26/03/2017,1353,U,Dry,Daylight:street lights present,Fine without high winds,M/cycle 50cc and under,Driver or rider,Serious
43T0484,2,29/03/2017,805,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
43U0173,2,30/03/2017,444,A641,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
4411435,1,01/04/2017,1820,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight
4430811,3,03/04/2017,1315,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
4441341,1,04/04/2017,840,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4451585,2,05/04/2017,1913,A672,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
4470031,1,07/04/2017,22,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Minibus (8 – 16 passenger seats),Driver or rider,Slight
4470817,1,07/04/2017,1317,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4471768,2,07/04/2017,0,B6113,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4480043,1,08/04/2017,26,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious
4480848,1,08/04/2017,1320,A641,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight
4492016,2,09/04/2017,2142,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
44B0514,2,31/03/2017,1130,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
44B0837,2,11/04/2017,1356,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
44B1237,1,11/04/2017,1610,U,Dry,Daylight:street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight
44B1351,3,11/04/2017,1535,M62,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
44D1103,1,13/04/2017,1614,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
44D1726,2,13/04/2017,2125,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
44M0740,1,21/04/2017,1325,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
44N0736,1,23/04/2017,1232,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
44N1429,2,23/04/2017,1835,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
44P1298,2,25/04/2017,1700,U,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
44P1322,3,25/04/2017,1755,M62,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
44P1334,2,25/04/2017,1705,U,Wet/Damp,Darkness: street lighting unknown,Raining without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight
44Q0208,2,26/04/2017,605,U,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight
44R0228,2,27/04/2017,734,A629(M),Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
44R1259,2,27/04/2017,1720,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
44S0381,1,28/04/2017,943,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
44S1117,2,28/04/2017,1600,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
44T0937,2,28/04/2017,1446,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4511074,1,01/05/2017,1454,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious
4561852,2,06/05/2017,1949,U,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight
4591073,2,09/05/2017,1540,U,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
45A1355,2,09/05/2017,1740,A643,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious
45C0356,3,12/05/2017,900,A629,Dry,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
45C1230,1,12/05/2017,1515,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
45D1487,2,13/05/2017,1701,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Serious
45K0563,2,20/05/2017,932,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
45M1764,1,22/05/2017,1930,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Serious
45O0315,2,24/05/2017,735,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
45O0986,1,23/05/2017,1230,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
45O1644,2,24/05/2017,1933,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
45P0243,2,25/05/2017,640,A58,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Serious
45P0887,2,15/05/2017,1515,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
45P1441,1,22/05/2017,1230,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
45S0413,1,28/05/2017,700,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight
45U1498,2,30/05/2017,1809,B6112,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
45V1655,2,31/05/2017,1933,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
4610165,1,01/06/2017,213,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
4610207,1,01/06/2017,325,U,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Slight
4631335,2,03/06/2017,1345,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious
4631739,1,03/06/2017,1805,U,Dry,Darkness: street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight
4650346,2,05/06/2017,900,U,Wet/Damp,Daylight:street lights present,Raining without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight
4660967,1,06/06/2017,1430,M62,Wet/Damp,Daylight:street lights present,Raining with high winds,Car,Driver or rider,Slight
4661010,2,06/06/2017,1453,U,Dry,Daylight:street lights present,Raining with high winds,Car,Driver or rider,Slight
46B0737,2,25/05/2017,1210,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
46D1172,1,13/06/2017,1355,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
46D1331,2,13/06/2017,1628,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
46F0944,4,15/06/2017,1341,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
46G1337,2,16/06/2017,1630,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
46G2169,3,16/06/2017,2230,B6113,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
46J1701,2,19/06/2017,1630,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
46K0315,2,20/06/2017,713,A643,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight
46K0362,2,20/06/2017,752,A58,Dry,Daylight:street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight
46K1353,2,20/06/2017,1600,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
46K1676,2,20/06/2017,1826,M62,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
46L1638,1,21/06/2017,1750,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
46M1396,1,22/06/2017,1656,A641,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Fatal
46N1878,3,23/06/2017,2023,A641,Wet/Damp,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
46N2017,2,23/06/2017,2125,A62,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight
46O0634,1,24/06/2017,1032,B6113,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious
46O0783,2,24/06/2017,1157,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
46O0950,1,24/06/2017,1200,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Serious
46O1875,1,24/06/2017,1900,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight
46O1901,1,24/06/2017,2056,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight
46Q1119,2,26/06/2017,1432,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
46S0219,3,28/06/2017,721,M62,Wet/Damp,Darkness: street lighting unknown,Raining without high winds,Car,Driver or rider,Slight
46T0627,2,29/06/2017,1800,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
46T0687,3,29/06/2017,1215,A6139,Wet/Damp,Daylight:street lights present,Raining without high winds,Car,Driver or rider,Slight
46T1349,2,29/06/2017,1640,A641,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
4711015,2,01/07/2017,1330,A58,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
4711388,2,01/07/2017,1636,A629,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
4721397,2,02/07/2017,1732,A646,Dry,Darkness: street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight
4721935,1,02/07/2017,1520,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
4721995,2,02/07/2017,2236,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4732052,2,03/07/2017,2200,U,Dry,Darkness: street lighting unknown,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
4770922,1,07/07/2017,1341,U,Dry,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight
4772110,2,07/07/2017,2300,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
4780774,2,08/07/2017,1151,U,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
4780808,3,08/07/2017,1207,B6112,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
4781720,2,08/07/2017,1915,U,Dry,Darkness: street lighting unknown,Other,Car,Driver or rider,Slight
4781834,1,08/07/2017,1950,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight
4790922,2,08/07/2017,2140,U,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight
4791357,2,09/07/2017,1610,U,Dry,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
4791434,1,09/07/2017,1642,U,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight
47A1679,2,10/07/2017,1926,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight
47A1696,1,10/07/2017,1931,U,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Pedestrian,Slight
47D0435,2,13/07/2017,907,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
47F1134,1,15/07/2017,1510,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight
47F2047,2,15/07/2017,2241,A646,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
47G0996,2,16/07/2017,1357,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
47H0325,2,17/07/2017,849,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
47J0272,2,19/07/2017,750,A6036,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
47J0580,2,19/07/2017,1114,A644,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious
47K0372,2,20/07/2017,843,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
47K0399,2,20/07/2017,859,B6112,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight
47L1644,2,21/07/2017,1758,M62,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Driver or rider,Slight
47O2038,1,24/07/2017,2328,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
47T0050,1,29/07/2017,40,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight
